date,channel,offered_contacts,answered_contacts,abandoned_contacts,avg_aht_seconds,avg_asa_seconds,fcr_rate_pct,occupancy_pct,staffing_hours,labor_cost_usd
2025-05-10,Phone,33,32,1,1180,38,90.6,84.8,12.38,273.48
2025-05-10,Chat,17,13,4,876,23,100.0,77.8,4.06,98.78
2025-05-10,Email,20,6,14,749,19,83.3,82.3,1.52,41.51
2025-05-10,Web Form,15,8,7,540,26,87.5,74.7,1.61,43.34
2025-05-10,Community,8,2,6,710,17,100.0,94.9,0.42,11.02
2025-05-11,Phone,36,27,9,1188,26,92.6,96.0,9.28,230.79
2025-05-11,Chat,30,18,12,974,20,88.9,79.1,6.16,141.32
2025-05-11,Email,12,12,0,843,17,100.0,75.8,3.71,89.57
2025-05-11,Web Form,14,6,8,783,25,100.0,79.3,1.65,35.27
2025-05-11,Community,11,1,10,1168,17,100.0,77.8,0.42,10.31
2025-05-12,Phone,38,28,10,1157,41,92.9,77.2,11.66,263.89
2025-05-12,Chat,29,16,13,969,10,87.5,75.7,5.69,141.36
2025-05-12,Email,13,4,9,938,18,100.0,92.7,1.12,22.08
2025-05-12,Web Form,8,4,4,783,17,100.0,80.2,1.08,26.08
2025-05-12,Community,5,3,2,826,13,0.0,93.0,0.74,18.59
2025-05-13,Phone,34,27,7,1071,41,92.6,86.2,9.31,265.05
2025-05-13,Chat,21,13,8,833,27,92.3,89.8,3.35,85.37
2025-05-13,Email,20,8,12,944,23,62.5,84.5,2.48,60.91
2025-05-13,Web Form,13,11,2,760,15,100.0,74.3,3.13,67.17
2025-05-13,Community,6,2,4,563,17,100.0,92.8,0.34,9.43
2025-05-14,Phone,34,23,11,1322,32,87.0,82.0,10.3,226.92
2025-05-14,Chat,27,13,14,775,15,69.2,75.1,3.72,102.88
2025-05-14,Email,18,13,5,766,24,84.6,87.0,3.18,89.99
2025-05-14,Web Form,9,7,2,748,24,100.0,85.0,1.71,43.09
2025-05-14,Community,3,2,1,480,31,100.0,84.2,0.32,7.82
2025-05-15,Phone,24,21,3,1176,39,90.5,88.2,7.78,202.87
2025-05-15,Chat,14,9,5,705,16,77.8,77.0,2.29,62.95
2025-05-15,Email,9,4,5,756,24,75.0,81.9,1.03,23.96
2025-05-15,Web Form,27,13,14,679,22,100.0,84.7,2.9,68.03
2025-05-15,Community,17,5,12,485,27,100.0,71.6,0.94,19.53
2025-05-16,Phone,36,34,2,1101,27,88.2,80.9,12.85,271.39
2025-05-16,Chat,20,13,7,794,27,92.3,84.2,3.41,74.94
2025-05-16,Email,21,7,14,704,19,85.7,75.8,1.81,39.64
2025-05-16,Web Form,17,6,11,802,28,66.7,82.8,1.61,34.58
2025-05-16,Community,16,3,13,474,13,100.0,85.5,0.46,10.13
2025-05-17,Phone,35,32,3,1068,51,81.2,80.7,11.76,327.07
2025-05-17,Chat,22,19,3,870,37,94.7,84.9,5.41,152.98
2025-05-17,Email,9,7,2,804,20,100.0,86.0,1.82,42.36
2025-05-17,Web Form,8,8,0,882,26,87.5,84.1,2.33,59.91
2025-05-17,Community,20,7,13,729,24,100.0,79.0,1.79,41.5
2025-05-18,Phone,26,26,0,1083,44,92.3,83.7,9.34,199.58
2025-05-18,Chat,14,10,4,985,9,90.0,71.3,3.84,90.54
2025-05-18,Email,9,7,2,975,29,100.0,81.8,2.32,47.39
2025-05-18,Web Form,10,9,1,784,14,88.9,85.7,2.29,46.63
2025-05-18,Community,14,2,12,695,17,50.0,85.6,0.45,8.98
2025-05-19,Phone,31,29,2,1214,36,79.3,78.5,12.45,355.96
2025-05-19,Chat,21,14,7,997,19,92.9,77.1,5.03,108.56
2025-05-19,Email,23,13,10,845,21,92.3,94.3,3.24,78.1
2025-05-19,Web Form,8,8,0,852,13,87.5,72.2,2.62,75.1
2025-05-19,Community,9,5,4,520,21,100.0,79.1,0.91,19.43
2025-05-20,Phone,40,27,13,1146,31,85.2,71.0,12.11,232.8
2025-05-20,Chat,21,16,5,996,31,100.0,71.4,6.2,165.95
2025-05-20,Email,16,4,12,677,17,100.0,81.9,0.92,18.89
2025-05-20,Web Form,15,2,13,283,31,100.0,92.5,0.17,4.26
2025-05-20,Community,7,3,4,443,29,100.0,78.2,0.47,13.04
2025-05-21,Phone,36,26,10,1114,34,92.3,87.7,9.18,238.19
2025-05-21,Chat,25,16,9,887,34,87.5,80.6,4.89,96.69
2025-05-21,Email,13,10,3,718,39,80.0,79.4,2.51,52.06
2025-05-21,Web Form,11,7,4,947,28,100.0,87.2,2.11,49.61
2025-05-21,Community,18,4,14,518,10,100.0,95.0,0.61,15.58
2025-05-22,Phone,31,28,3,1056,34,92.9,87.5,9.38,245.72
2025-05-22,Chat,21,15,6,917,19,73.3,86.2,4.43,115.68
2025-05-22,Email,17,10,7,646,27,80.0,83.8,2.14,40.8
2025-05-22,Web Form,15,8,7,779,20,87.5,86.9,1.99,43.76
2025-05-22,Community,13,4,9,791,18,75.0,72.4,1.21,32.51
2025-05-23,Phone,29,27,2,1206,29,88.9,75.2,12.03,250.76
2025-05-23,Chat,16,14,2,1042,28,85.7,78.9,5.14,113.86
2025-05-23,Email,13,13,0,795,25,100.0,82.8,3.47,83.56
2025-05-23,Web Form,14,3,11,714,12,100.0,70.5,0.84,17.46
2025-05-23,Community,11,5,6,589,17,100.0,70.3,1.16,33.48
2025-05-24,Phone,47,34,13,1104,42,79.4,83.2,12.53,303.89
2025-05-24,Chat,15,9,6,857,13,100.0,89.4,2.4,67.4
2025-05-24,Email,23,10,13,640,20,100.0,83.0,2.14,53.66
2025-05-24,Web Form,11,6,5,724,23,83.3,86.5,1.39,38.98
2025-05-24,Community,18,4,14,739,20,100.0,75.7,1.08,20.76
2025-05-25,Phone,28,23,5,1118,40,91.3,78.5,9.1,182.22
2025-05-25,Chat,17,14,3,748,11,92.9,75.4,3.86,102.55
2025-05-25,Email,10,10,0,813,7,90.0,95.1,2.38,57.06
2025-05-25,Web Form,16,6,10,755,24,100.0,83.5,1.51,34.35
2025-05-25,Community,9,2,7,351,19,100.0,94.6,0.21,4.53
2025-05-26,Phone,25,19,6,1064,35,94.7,74.1,7.58,191.1
2025-05-26,Chat,29,21,8,859,29,90.5,86.9,5.76,134.98
2025-05-26,Email,10,8,2,940,34,87.5,94.0,2.22,50.23
2025-05-26,Web Form,13,6,7,694,14,83.3,73.9,1.56,38.15
2025-05-26,Community,9,2,7,570,21,0.0,87.3,0.36,8.35
2025-05-27,Phone,42,29,13,1244,32,96.6,88.8,11.28,241.4
2025-05-27,Chat,13,13,0,872,24,92.3,82.5,3.81,104.28
2025-05-27,Email,8,6,2,543,22,66.7,82.7,1.09,31.36
2025-05-27,Web Form,10,6,4,949,10,100.0,78.7,2.01,55.46
2025-05-27,Community,15,4,11,566,25,75.0,76.3,0.82,19.9
2025-05-28,Phone,34,34,0,1085,28,91.2,75.7,13.53,317.71
2025-05-28,Chat,15,11,4,904,30,100.0,78.2,3.53,92.36
2025-05-28,Email,23,9,14,715,17,77.8,81.0,2.21,47.91
2025-05-28,Web Form,19,5,14,719,19,60.0,83.4,1.2,30.07
2025-05-28,Community,12,4,8,756,15,100.0,76.8,1.09,31.19
2025-05-29,Phone,37,31,6,1077,23,83.9,93.1,9.96,204.25
2025-05-29,Chat,18,17,1,822,33,82.4,79.4,4.89,114.93
2025-05-29,Email,18,12,6,993,14,66.7,78.1,4.24,110.97
2025-05-29,Web Form,7,7,0,871,21,85.7,73.3,2.31,61.2
2025-05-29,Community,18,4,14,959,21,100.0,93.7,1.14,26.57
2025-05-30,Phone,29,28,1,1187,44,92.9,71.2,12.96,364.87
2025-05-30,Chat,19,15,4,892,9,86.7,60.7,6.12,157.55
2025-05-30,Email,21,10,11,853,12,100.0,75.6,3.13,73.34
2025-05-30,Web Form,13,3,10,672,22,66.7,82.2,0.68,14.24
2025-05-30,Community,11,1,10,514,31,0.0,77.6,0.18,3.85
2025-05-31,Phone,52,40,12,1137,33,90.0,74.8,16.89,323.44
2025-05-31,Chat,30,16,14,890,33,100.0,80.5,4.91,121.44
2025-05-31,Email,25,12,13,903,15,83.3,82.9,3.63,72.94
2025-05-31,Web Form,19,9,10,754,20,88.9,85.1,2.21,56.51
2025-05-31,Community,1,1,0,696,20,100.0,77.9,0.25,7.06
2025-06-01,Phone,38,32,6,1226,27,84.4,84.8,12.85,338.74
2025-06-01,Chat,19,12,7,990,24,83.3,88.1,3.74,73.99
2025-06-01,Email,23,9,14,548,7,88.9,83.5,1.64,35.11
2025-06-01,Web Form,22,8,14,631,19,100.0,84.3,1.66,41.83
2025-06-01,Community,11,2,9,556,34,100.0,79.5,0.39,9.22
2025-06-02,Phone,37,35,2,1137,21,94.3,79.1,13.97,359.56
2025-06-02,Chat,25,13,12,790,22,84.6,79.8,3.57,88.46
2025-06-02,Email,23,9,14,791,22,100.0,77.0,2.57,64.59
2025-06-02,Web Form,3,3,0,767,19,66.7,79.6,0.8,19.04
2025-06-02,Community,6,1,5,459,19,100.0,78.2,0.16,3.87
2025-06-03,Phone,18,17,1,1102,45,88.2,79.8,6.52,166.7
2025-06-03,Chat,19,16,3,925,18,93.8,79.8,5.15,122.39
2025-06-03,Email,26,12,14,913,8,91.7,80.1,3.8,105.3
2025-06-03,Web Form,18,4,14,838,10,100.0,89.9,1.04,20.46
2025-06-03,Community,15,1,14,504,22,100.0,73.5,0.19,5.24
2025-06-04,Phone,28,22,6,1247,49,86.4,91.9,8.29,220.45
2025-06-04,Chat,19,17,2,920,17,94.1,91.7,4.74,103.04
2025-06-04,Email,13,10,3,828,20,100.0,79.6,2.89,57.59
2025-06-04,Web Form,19,11,8,901,15,100.0,72.8,3.78,104.57
2025-06-04,Community,15,3,12,501,19,66.7,83.4,0.5,9.81
2025-06-05,Phone,31,24,7,1115,43,91.7,78.2,9.5,257.62
2025-06-05,Chat,22,17,5,924,12,100.0,68.8,6.35,122.99
2025-06-05,Email,15,6,9,745,13,83.3,75.5,1.64,42.35
2025-06-05,Web Form,21,13,8,763,22,84.6,75.0,3.67,93.43
2025-06-05,Community,7,4,3,603,9,100.0,69.3,0.97,24.29
2025-06-06,Phone,34,29,5,1128,27,89.7,81.3,11.18,240.55
2025-06-06,Chat,18,13,5,957,27,92.3,85.3,4.05,106.63
2025-06-06,Email,17,8,9,775,19,100.0,73.0,2.36,56.0
2025-06-06,Web Form,4,3,1,833,17,100.0,80.6,0.86,22.98
2025-06-06,Community,17,4,13,750,22,100.0,70.0,1.19,25.62
2025-06-07,Phone,28,26,2,1026,26,76.9,84.7,8.75,195.15
2025-06-07,Chat,32,19,13,856,33,94.7,83.1,5.44,124.03
2025-06-07,Email,20,8,12,759,22,87.5,79.3,2.13,56.68
2025-06-07,Web Form,19,5,14,869,20,60.0,74.1,1.63,40.47
2025-06-07,Community,9,1,8,180,27,100.0,85.2,0.06,1.4
2025-06-08,Phone,31,28,3,1053,28,75.0,78.6,10.42,272.91
2025-06-08,Chat,12,8,4,799,22,100.0,87.2,2.04,54.13
2025-06-08,Email,22,8,14,707,17,87.5,79.5,1.98,50.95
2025-06-08,Web Form,6,4,2,616,21,100.0,71.8,0.95,20.02
2025-06-08,Community,15,9,6,724,13,88.9,73.4,2.47,62.54
2025-06-09,Phone,37,23,14,1082,34,95.7,76.9,8.99,233.27
2025-06-09,Chat,21,11,10,869,22,81.8,75.0,3.54,76.14
2025-06-09,Email,19,7,12,648,26,100.0,90.2,1.4,32.93
2025-06-09,Web Form,15,9,6,726,34,55.6,80.1,2.27,49.6
2025-06-09,Community,8,3,5,824,7,100.0,85.2,0.81,17.98
2025-06-10,Phone,29,26,3,1073,43,84.6,80.9,9.58,221.11
2025-06-10,Chat,25,15,10,1024,21,93.3,86.3,4.94,115.8
2025-06-10,Email,14,9,5,822,23,100.0,86.8,2.37,54.26
2025-06-10,Web Form,18,9,9,585,19,88.9,96.0,1.52,40.55
2025-06-10,Community,3,3,0,589,12,100.0,70.8,0.69,15.81
2025-06-11,Phone,34,24,10,1067,30,95.8,75.0,9.48,228.88
2025-06-11,Chat,25,12,13,889,27,83.3,66.2,4.47,94.15
2025-06-11,Email,15,11,4,584,11,100.0,89.8,1.99,50.48
2025-06-11,Web Form,13,2,11,889,18,100.0,89.1,0.55,14.15
2025-06-11,Community,15,2,13,936,20,100.0,78.7,0.66,15.63
2025-06-12,Phone,38,24,14,1264,18,79.2,82.0,10.27,237.27
2025-06-12,Chat,20,13,7,958,31,100.0,77.3,4.48,118.53
2025-06-12,Email,23,9,14,922,12,100.0,82.5,2.79,80.76
2025-06-12,Web Form,22,8,14,471,33,75.0,89.9,1.16,32.72
2025-06-13,Phone,20,18,2,1155,30,100.0,89.7,6.44,146.37
2025-06-13,Chat,18,12,6,876,15,100.0,94.0,3.1,70.23
2025-06-13,Email,20,12,8,835,20,91.7,87.0,3.2,86.89
2025-06-13,Web Form,11,7,4,556,22,85.7,71.1,1.52,34.01
2025-06-13,Community,17,3,14,557,26,100.0,87.9,0.53,10.35
2025-06-14,Phone,30,22,8,1151,34,86.4,85.5,8.23,193.79
2025-06-14,Chat,23,14,9,990,17,78.6,84.4,4.56,88.15
2025-06-14,Email,11,11,0,850,25,81.8,85.3,3.04,72.17
2025-06-14,Web Form,18,4,14,808,11,75.0,75.6,1.19,25.37
2025-06-14,Community,11,4,7,611,16,100.0,84.7,0.8,21.72
2025-06-15,Phone,38,37,1,1033,37,83.8,83.4,12.73,274.45
2025-06-15,Chat,18,18,0,981,16,77.8,88.9,5.52,140.28
2025-06-15,Email,22,8,14,916,20,87.5,85.9,2.37,49.6
2025-06-15,Web Form,12,8,4,704,28,75.0,89.7,1.74,35.04
2025-06-15,Community,16,4,12,537,20,75.0,73.6,0.81,18.03
2025-06-16,Phone,24,24,0,887,43,100.0,84.3,7.01,155.87
2025-06-16,Chat,13,10,3,987,16,100.0,83.2,3.29,94.1
2025-06-16,Email,20,7,13,884,15,100.0,84.7,2.03,48.36
2025-06-16,Web Form,4,4,0,640,9,100.0,82.9,0.86,20.03
2025-06-16,Community,8,5,3,354,11,100.0,82.2,0.6,13.53
2025-06-17,Phone,43,35,8,1114,28,97.1,80.5,13.45,292.26
2025-06-17,Chat,23,9,14,818,16,77.8,80.4,2.54,63.84
2025-06-17,Email,18,12,6,832,26,83.3,88.2,3.14,75.8
2025-06-17,Web Form,17,5,12,830,17,100.0,80.7,1.43,30.91
2025-06-17,Community,9,3,6,644,14,100.0,78.8,0.68,15.94
2025-06-18,Phone,36,33,3,1123,34,93.9,84.8,12.14,303.07
2025-06-18,Chat,17,14,3,992,23,100.0,72.8,5.3,133.01
2025-06-18,Email,25,12,13,751,23,83.3,79.5,3.15,88.0
2025-06-18,Web Form,18,4,14,736,27,100.0,89.2,0.92,17.84
2025-06-18,Community,14,5,9,623,27,100.0,90.4,0.96,25.35
2025-06-19,Phone,27,27,0,1088,35,88.9,92.0,8.87,206.63
2025-06-19,Chat,18,13,5,896,23,92.3,77.6,4.17,81.24
2025-06-19,Email,10,7,3,898,18,85.7,88.5,1.97,49.24
2025-06-19,Web Form,13,9,4,916,15,100.0,83.7,2.73,55.12
2025-06-19,Community,3,1,2,437,18,100.0,78.3,0.16,3.34
2025-06-20,Phone,31,23,8,1117,28,82.6,83.7,8.53,204.17
2025-06-20,Chat,26,14,12,853,34,85.7,95.4,3.48,95.6
2025-06-20,Email,25,11,14,891,18,100.0,76.8,3.54,76.3
2025-06-20,Web Form,15,10,5,907,15,100.0,75.8,3.32,71.9
2025-06-20,Community,9,1,8,818,29,100.0,78.2,0.29,8.13
2025-06-21,Phone,29,21,8,982,42,95.2,74.8,7.66,165.18
2025-06-21,Chat,23,9,14,836,16,100.0,79.6,2.63,50.06
2025-06-21,Email,9,8,1,756,24,87.5,86.8,1.94,52.01
2025-06-21,Web Form,7,5,2,666,27,80.0,86.8,1.07,30.64
2025-06-21,Community,4,4,0,554,13,75.0,82.5,0.75,20.4
2025-06-22,Phone,37,31,6,1224,33,93.5,86.5,12.18,235.02
2025-06-22,Chat,32,20,12,948,20,75.0,74.8,7.04,198.02
2025-06-22,Email,7,7,0,922,11,100.0,76.9,2.33,51.88
2025-06-22,Web Form,17,8,9,737,13,87.5,82.4,1.99,44.19
2025-06-22,Community,10,2,8,766,15,50.0,75.1,0.57,12.83
2025-06-23,Phone,38,27,11,1090,32,88.9,71.4,11.45,320.41
2025-06-23,Chat,27,15,12,1015,28,86.7,77.7,5.44,106.86
2025-06-23,Email,17,13,4,956,21,84.6,84.0,4.11,83.5
2025-06-23,Web Form,17,7,10,624,7,85.7,88.1,1.38,30.36
2025-06-23,Community,16,3,13,806,33,0.0,76.5,0.88,17.34
2025-06-24,Phone,31,19,12,1061,29,84.2,95.8,5.85,135.53
2025-06-24,Chat,27,13,14,960,24,84.6,82.4,4.21,88.95
2025-06-24,Email,24,14,10,682,19,85.7,74.8,3.55,70.94
2025-06-24,Web Form,10,6,4,741,25,100.0,86.0,1.44,37.88
2025-06-24,Community,20,12,8,588,16,91.7,88.2,2.22,59.64
2025-06-25,Phone,34,24,10,938,34,79.2,84.8,7.37,211.52
2025-06-25,Chat,28,16,12,897,27,100.0,82.0,4.86,124.44
2025-06-25,Email,17,6,11,732,11,100.0,80.2,1.52,38.22
2025-06-25,Web Form,5,5,0,646,18,100.0,82.9,1.08,30.01
2025-06-25,Community,19,7,12,631,5,100.0,78.9,1.55,30.47
2025-06-26,Phone,41,29,12,1157,23,93.1,74.8,12.45,261.9
2025-06-26,Chat,31,23,8,806,33,87.0,75.7,6.8,184.8
2025-06-26,Email,14,8,6,815,25,100.0,79.3,2.28,61.11
2025-06-26,Web Form,16,4,12,732,15,100.0,83.5,0.97,23.11
2025-06-26,Community,17,3,14,674,29,100.0,89.2,0.63,15.52
2025-06-27,Phone,24,23,1,1310,48,82.6,84.1,9.95,236.93
2025-06-27,Chat,27,16,11,838,23,81.2,86.0,4.33,89.09
2025-06-27,Email,7,6,1,661,28,83.3,85.0,1.3,25.28
2025-06-27,Web Form,10,9,1,905,10,88.9,77.4,2.92,67.99
2025-06-27,Community,15,1,14,801,32,0.0,91.3,0.24,6.8
2025-06-28,Phone,46,35,11,1128,32,97.1,72.6,15.11,379.6
2025-06-28,Chat,16,10,6,957,12,100.0,76.3,3.48,98.86
2025-06-28,Email,15,9,6,1107,17,88.9,88.9,3.11,71.52
2025-06-28,Web Form,19,9,10,845,18,100.0,78.4,2.69,55.76
2025-06-28,Community,8,2,6,544,26,100.0,69.1,0.44,9.5
2025-06-29,Phone,40,29,11,1125,29,89.7,84.0,10.79,302.32
2025-06-29,Chat,20,13,7,831,16,84.6,72.4,4.14,90.8
2025-06-29,Email,20,9,11,483,25,100.0,82.4,1.47,40.52
2025-06-29,Web Form,11,6,5,573,29,66.7,77.3,1.23,31.43
2025-06-29,Community,13,6,7,656,5,83.3,78.5,1.39,32.57
2025-06-30,Phone,22,20,2,991,39,65.0,83.7,6.58,179.43
2025-06-30,Chat,26,19,7,902,22,89.5,84.8,5.62,151.86
2025-06-30,Email,10,8,2,691,26,75.0,85.7,1.79,50.8
2025-06-30,Community,3,1,2,670,18,100.0,80.0,0.23,6.22
2025-07-01,Phone,28,27,1,1227,34,81.5,77.6,11.85,248.84
2025-07-01,Chat,30,16,14,1004,28,100.0,82.0,5.44,141.08
2025-07-01,Email,23,11,12,1006,19,90.9,79.1,3.89,93.99
2025-07-01,Web Form,15,6,9,752,30,100.0,86.0,1.46,35.55
2025-07-01,Community,15,3,12,679,23,100.0,93.7,0.6,13.75
2025-07-02,Phone,37,25,12,1123,20,92.0,78.2,9.98,266.04
2025-07-02,Chat,25,14,11,898,11,100.0,81.7,4.28,97.99
2025-07-02,Email,20,10,10,791,22,90.0,77.4,2.84,70.3
2025-07-02,Web Form,10,4,6,506,32,100.0,66.9,0.84,17.67
2025-07-02,Community,15,3,12,762,17,66.7,83.3,0.76,20.17
2025-07-03,Phone,27,23,4,1178,44,95.7,72.6,10.37,256.81
2025-07-03,Chat,16,15,1,872,24,86.7,73.8,4.92,131.35
2025-07-03,Email,12,7,5,735,21,100.0,83.6,1.71,37.59
2025-07-03,Web Form,8,8,0,704,7,100.0,82.3,1.9,43.64
2025-07-03,Community,12,1,11,524,5,100.0,78.4,0.19,5.34
2025-07-04,Phone,42,33,9,1186,40,84.8,86.9,12.51,250.39
2025-07-04,Chat,15,14,1,868,31,71.4,81.1,4.16,79.36
2025-07-04,Email,14,11,3,842,28,100.0,68.9,3.74,108.03
2025-07-04,Web Form,7,3,4,570,18,100.0,76.3,0.62,15.18
2025-07-04,Community,11,3,8,715,16,100.0,89.8,0.66,16.71
2025-07-05,Phone,36,32,4,1099,37,90.6,80.6,12.12,340.99
2025-07-05,Chat,19,15,4,1026,21,100.0,88.3,4.84,102.76
2025-07-05,Email,16,4,12,772,8,75.0,83.7,1.02,23.2
2025-07-05,Web Form,6,6,0,934,16,100.0,77.4,2.01,48.58
2025-07-05,Community,7,3,4,710,22,66.7,86.0,0.69,19.74
2025-07-06,Phone,44,33,11,1111,29,100.0,76.9,13.24,292.94
2025-07-06,Chat,33,19,14,928,17,100.0,76.6,6.4,178.01
2025-07-06,Email,25,13,12,781,25,84.6,80.6,3.5,92.95
2025-07-06,Web Form,17,6,11,899,16,83.3,77.1,1.94,38.91
2025-07-06,Community,4,3,1,447,30,100.0,88.9,0.42,10.28
2025-07-07,Phone,40,29,11,1107,38,89.7,86.6,10.29,245.24
2025-07-07,Chat,32,18,14,852,20,88.9,70.3,6.06,158.13
2025-07-07,Email,11,9,2,726,21,100.0,81.0,2.24,53.14
2025-07-07,Web Form,12,7,5,787,19,42.9,96.0,1.59,39.23
2025-07-07,Community,13,4,9,614,7,100.0,80.3,0.85,21.04
2025-07-08,Phone,48,38,10,1035,33,86.8,88.4,12.36,293.03
2025-07-08,Chat,22,18,4,1018,27,94.4,87.6,5.81,131.53
2025-07-08,Email,21,8,13,904,18,100.0,90.6,2.22,44.93
2025-07-08,Web Form,10,5,5,750,22,100.0,83.8,1.24,30.45
2025-07-08,Community,13,6,7,549,17,83.3,83.7,1.09,21.28
2025-07-09,Phone,48,39,9,1161,36,87.2,79.8,15.75,318.66
2025-07-09,Chat,13,13,0,1008,26,84.6,87.3,4.17,104.05
2025-07-09,Email,23,10,13,838,13,90.0,75.8,3.07,63.33
2025-07-09,Web Form,9,9,0,778,19,55.6,68.5,2.84,57.5
2025-07-09,Community,7,4,3,679,27,100.0,81.1,0.93,24.79
2025-07-10,Phone,33,19,14,934,41,89.5,80.0,6.17,154.19
2025-07-10,Chat,23,18,5,988,7,77.8,87.7,5.63,110.3
2025-07-10,Email,20,7,13,649,31,100.0,86.0,1.47,36.65
2025-07-10,Web Form,9,4,5,692,24,100.0,83.0,0.93,21.61
2025-07-10,Community,5,3,2,733,27,100.0,86.2,0.71,15.35
2025-07-11,Phone,32,28,4,989,30,89.3,85.1,9.04,229.67
2025-07-11,Chat,26,12,14,830,21,100.0,79.9,3.46,86.24
2025-07-11,Email,27,17,10,879,24,100.0,78.6,5.28,113.41
2025-07-11,Web Form,5,5,0,581,15,80.0,73.6,1.1,31.24
2025-07-11,Community,14,2,12,538,31,50.0,75.5,0.4,11.27
2025-07-12,Phone,38,25,13,1023,29,92.0,80.7,8.81,243.41
2025-07-12,Chat,23,16,7,927,12,87.5,85.3,4.83,133.66
2025-07-12,Email,19,6,13,658,24,100.0,86.4,1.27,31.88
2025-07-12,Web Form,8,8,0,764,26,100.0,88.5,1.92,53.36
2025-07-12,Community,12,2,10,911,5,100.0,68.7,0.74,16.18
2025-07-13,Phone,26,23,3,1120,46,87.0,80.5,8.89,238.25
2025-07-13,Chat,21,20,1,893,13,85.0,89.0,5.57,116.88
2025-07-13,Email,11,9,2,830,23,88.9,88.2,2.35,55.18
2025-07-13,Web Form,8,6,2,737,10,66.7,84.9,1.45,39.92
2025-07-13,Community,15,3,12,824,21,66.7,85.3,0.8,19.88
2025-07-14,Phone,35,33,2,1248,44,93.9,84.4,13.55,314.55
2025-07-14,Chat,23,13,10,772,15,92.3,85.6,3.26,67.52
2025-07-14,Email,16,9,7,816,15,55.6,84.8,2.41,49.18
2025-07-14,Web Form,3,1,2,1261,15,100.0,75.5,0.46,10.68
2025-07-14,Community,10,5,5,752,22,100.0,80.2,1.3,32.45
2025-07-15,Phone,23,21,2,945,45,95.2,80.9,6.82,187.55
