case_number,case_id,created_at,case_subtype,symptom_summary,asset_name,channel,case_status,support_tier,platform,country,handle_time_minutes,transfers,resolved_flag,csat_score,sentiment_score
7000016,CSE000016,2025-07-03T00:00:00.000Z,Functionality,Base station offline,Floodlight,Phone,Closed,Tier 3,Web,US,20,0,0,4,0.4
7000017,CSE000017,2025-07-04T00:00:00.000Z,Shipping,Order status,Floodlight,Email,Closed,Tier 1,Android,US,28,0,1,5,0.97
7000018,CSE000018,2025-07-19T00:00:00.000Z,Connectivity,Motion alerts delayed,Floodlight,Chat,Closed,Tier 1,iOS,UK,25,0,1,4,0.59
7000019,CSE000019,2025-05-19T00:00:00.000Z,Inquiry,Camera offline,Base Station,Chat,Closed,Tier 2,Android,US,15,1,1,5,1.0
7000020,CSE000020,2025-05-08T00:00:00.000Z,Shipping,Device setup issue,Base Station,Community,In Progress,Tier 2,Android,CA,22,2,1,4,-0.07
7000021,CSE000021,2025-06-24T00:00:00.000Z,Inquiry,Motion alerts delayed,Doorbell,Phone,Closed,Tier 2,Android,AU,23,0,1,1,-1.0
7000022,CSE000022,2025-05-04T00:00:00.000Z,Functionality,App login issues,Doorbell,Email,In Progress,Tier 2,iOS,UK,28,0,1,5,0.32
7000023,CSE000023,2025-06-13T00:00:00.000Z,Billing,Motion alerts delayed,Base Station,Phone,Closed,Tier 1,iOS,UK,22,1,1,4,0.38
7000024,CSE000024,2025-06-21T00:00:00.000Z,Functionality,Subscription question,Floodlight,Email,Closed,Tier 2,Android,US,15,0,1,4,-0.09
7000025,CSE000025,2025-05-31T00:00:00.000Z,Functionality,Order status,Doorbell,Email,Closed,Tier 1,Android,DE,26,0,1,3,-0.62
7000026,CSE000026,2025-06-02T00:00:00.000Z,Functionality,Camera offline,Floodlight,Chat,Closed,Tier 1,iOS,AU,18,0,1,4,0.63
7000027,CSE000027,2025-05-05T00:00:00.000Z,Functionality,No live stream,Base Station,Chat,Closed,Tier 2,iOS,UK,12,2,0,2,-0.44
7000028,CSE000028,2025-05-11T00:00:00.000Z,Billing,No live stream,Base Station,Email,Closed,Tier 2,Android,UK,34,1,1,4,0.13
7000029,CSE000029,2025-06-03T00:00:00.000Z,Functionality,Subscription question,Camera,Phone,In Progress,Tier 1,Web,DE,17,0,1,1,-0.87
7000030,CSE000030,2025-07-10T00:00:00.000Z,Inquiry,App login issues,Floodlight,Phone,Closed,Tier 3,Unknown,US,22,0,1,1,-1.0
7000031,CSE000031,2025-05-22T00:00:00.000Z,Functionality,Order status,Camera,Phone,Closed,Tier 1,Web,DE,17,0,1,5,0.92
7000032,CSE000032,2025-06-27T00:00:00.000Z,Functionality,Motion alerts delayed,Camera,Phone,Escalated,Tier 1,Unknown,UK,26,1,1,4,0.4
7000033,CSE000033,2025-05-08T00:00:00.000Z,Functionality,No live stream,Floodlight,Phone,Closed,Tier 1,iOS,AU,15,1,1,4,0.33
7000034,CSE000034,2025-07-04T00:00:00.000Z,Connectivity,No live stream,Floodlight,Phone,Closed,Tier 2,Android,DE,25,1,1,3,0.22
7000035,CSE000035,2025-07-05T00:00:00.000Z,Inquiry,Subscription question,Chime,Phone,Closed,Tier 1,Unknown,CA,12,0,1,2,-0.53
7000036,CSE000036,2025-06-02T00:00:00.000Z,Account,Device setup issue,Base Station,Phone,Closed,Tier 1,Android,DE,20,1,0,3,-0.49
7000037,CSE000037,2025-05-01T00:00:00.000Z,Connectivity,No live stream,Doorbell,Chat,Closed,Tier 1,Android,CA,15,1,1,3,-0.57
7000038,CSE000038,2025-05-07T00:00:00.000Z,Inquiry,App login issues,Floodlight,Phone,In Progress,Tier 1,Android,AU,21,0,0,2,-1.0
7000039,CSE000039,2025-05-19T00:00:00.000Z,Shipping,Subscription question,Floodlight,Email,Closed,Tier 1,iOS,UK,30,0,1,3,0.11
7000040,CSE000040,2025-07-04T00:00:00.000Z,Functionality,Base station offline,Camera,Chat,In Progress,Tier 1,Android,DE,16,2,1,4,0.98
7000041,CSE000041,2025-07-13T00:00:00.000Z,Account,Refund request,Floodlight,Phone,Closed,Tier 2,iOS,US,21,1,1,3,-0.04
7000042,CSE000042,2025-05-12T00:00:00.000Z,Shipping,Subscription question,Floodlight,Chat,Closed,Tier 1,Unknown,AU,21,0,1,4,0.6
7000043,CSE000043,2025-05-30T00:00:00.000Z,Account,Subscription question,Base Station,Community,Closed,Tier 1,iOS,US,12,0,1,5,0.42
7000044,CSE000044,2025-05-30T00:00:00.000Z,Inquiry,Base station offline,Base Station,Phone,Closed,Tier 1,Android,CA,14,1,0,4,0.47
7000045,CSE000045,2025-06-13T00:00:00.000Z,Account,Base station offline,Camera,Email,Closed,Tier 1,iOS,US,16,0,1,3,0.07
7000046,CSE000046,2025-06-08T00:00:00.000Z,Functionality,No live stream,Floodlight,Community,Closed,Tier 1,Web,UK,19,2,1,2,-0.77
7000047,CSE000047,2025-05-22T00:00:00.000Z,Connectivity,Camera offline,Doorbell,Email,Closed,Tier 1,iOS,DE,6,0,1,3,-0.49
7000048,CSE000048,2025-07-30T00:00:00.000Z,Account,Motion alerts delayed,Doorbell,Community,Closed,Tier 1,Unknown,DE,19,1,1,4,0.19
7000049,CSE000049,2025-07-08T00:00:00.000Z,Inquiry,Subscription question,Floodlight,Phone,Closed,Tier 1,Web,DE,23,0,1,3,0.33
7000050,CSE000050,2025-06-23T00:00:00.000Z,Functionality,Device setup issue,Chime,Phone,Escalated,Tier 1,iOS,DE,26,0,1,3,-0.34
7000051,CSE000051,2025-05-12T00:00:00.000Z,Functionality,Motion alerts delayed,Base Station,Phone,Closed,Tier 3,iOS,DE,18,0,1,3,-0.8
7000052,CSE000052,2025-05-13T00:00:00.000Z,Functionality,No live stream,Base Station,Community,Closed,Tier 1,iOS,DE,20,2,1,5,0.59
7000053,CSE000053,2025-06-28T00:00:00.000Z,Account,Refund request,Floodlight,Community,Closed,Tier 1,Unknown,AU,23,0,1,4,0.35
7000054,CSE000054,2025-06-19T00:00:00.000Z,Functionality,Base station offline,Chime,Chat,Closed,Tier 2,Unknown,UK,12,0,1,5,0.76
7000055,CSE000055,2025-06-12T00:00:00.000Z,Inquiry,Refund request,Floodlight,Phone,Closed,Tier 2,iOS,US,24,2,1,3,-0.08
7000056,CSE000056,2025-05-27T00:00:00.000Z,Connectivity,No live stream,Chime,Chat,Closed,Tier 1,iOS,DE,23,0,1,4,1.0
7000057,CSE000057,2025-06-29T00:00:00.000Z,Inquiry,Base station offline,Camera,Phone,Escalated,Tier 1,Web,AU,19,0,1,1,-0.42
7000058,CSE000058,2025-06-10T00:00:00.000Z,Inquiry,Refund request,Camera,Phone,Closed,Tier 2,iOS,DE,24,0,1,1,-0.85
7000059,CSE000059,2025-06-19T00:00:00.000Z,Connectivity,Motion alerts delayed,Chime,Phone,Closed,Tier 1,iOS,CA,5,2,1,3,0.6
7000060,CSE000060,2025-05-28T00:00:00.000Z,Inquiry,Device setup issue,Base Station,Phone,Closed,Tier 1,Android,CA,16,1,1,4,0.64
7000061,CSE000061,2025-07-06T00:00:00.000Z,Inquiry,Camera offline,Camera,Phone,Closed,Tier 2,Android,AU,13,0,1,5,1.0
7000062,CSE000062,2025-07-05T00:00:00.000Z,Functionality,No live stream,Doorbell,Email,Closed,Tier 1,Web,DE,13,0,1,4,-0.49
7000063,CSE000063,2025-07-06T00:00:00.000Z,Connectivity,Order status,Floodlight,Phone,In Progress,Tier 2,iOS,UK,21,1,1,5,0.44
7000064,CSE000064,2025-06-26T00:00:00.000Z,Inquiry,Base station offline,Chime,Email,Closed,Tier 1,Unknown,AU,22,0,1,4,0.54
7000065,CSE000065,2025-06-14T00:00:00.000Z,Account,Subscription question,Doorbell,Phone,Closed,Tier 1,Web,CA,8,1,1,4,0.93
7000066,CSE000066,2025-07-12T00:00:00.000Z,Shipping,No live stream,Floodlight,Phone,Closed,Tier 2,Android,US,3,1,1,5,1.0
7000067,CSE000067,2025-06-13T00:00:00.000Z,Shipping,Refund request,Chime,Phone,In Progress,Tier 2,iOS,US,10,1,1,4,0.5
7000068,CSE000068,2025-05-15T00:00:00.000Z,Functionality,Motion alerts delayed,Doorbell,Email,Closed,Tier 1,Web,UK,26,1,1,2,-0.7
7000069,CSE000069,2025-07-01T00:00:00.000Z,Billing,Refund request,Camera,Phone,Closed,Tier 2,Android,CA,4,0,1,1,-1.0
7000070,CSE000070,2025-05-29T00:00:00.000Z,Inquiry,Motion alerts delayed,Camera,Phone,Closed,Tier 1,Android,CA,30,0,1,5,0.93
7000071,CSE000071,2025-07-27T00:00:00.000Z,Inquiry,Camera offline,Chime,Chat,Escalated,Tier 1,iOS,AU,13,1,1,5,1.0
7000072,CSE000072,2025-07-13T00:00:00.000Z,Inquiry,No live stream,Chime,Phone,Closed,Tier 1,iOS,DE,16,0,1,3,-0.04
7000073,CSE000073,2025-05-23T00:00:00.000Z,Inquiry,No live stream,Doorbell,Chat,Closed,Tier 2,iOS,AU,31,1,1,4,0.19
7000074,CSE000074,2025-07-17T00:00:00.000Z,Connectivity,Base station offline,Doorbell,Phone,In Progress,Tier 1,Web,UK,11,0,1,4,0.49
7000075,CSE000075,2025-07-16T00:00:00.000Z,Inquiry,App login issues,Base Station,Phone,Closed,Tier 3,iOS,DE,17,0,1,4,0.57
7000076,CSE000076,2025-05-03T00:00:00.000Z,Billing,Subscription question,Floodlight,Chat,Closed,Tier 1,Unknown,US,16,0,0,3,0.32
7000077,CSE000077,2025-07-29T00:00:00.000Z,Connectivity,Camera offline,Chime,Phone,Closed,Tier 1,Android,DE,23,2,1,5,0.78
7000078,CSE000078,2025-05-24T00:00:00.000Z,Connectivity,Refund request,Floodlight,Community,Closed,Tier 2,iOS,DE,19,0,1,5,1.0
7000079,CSE000079,2025-07-24T00:00:00.000Z,Billing,No live stream,Floodlight,Chat,Closed,Tier 1,iOS,CA,26,1,1,5,0.51
7000080,CSE000080,2025-06-29T00:00:00.000Z,Billing,Motion alerts delayed,Doorbell,Email,Closed,Tier 1,Android,UK,9,1,1,5,1.0
7000081,CSE000081,2025-05-02T00:00:00.000Z,Functionality,Refund request,Base Station,Email,In Progress,Tier 2,Android,US,18,0,1,3,-0.06
7000082,CSE000082,2025-07-21T00:00:00.000Z,Billing,Device setup issue,Camera,Email,Escalated,Tier 2,Web,CA,11,1,1,5,1.0
7000083,CSE000083,2025-06-20T00:00:00.000Z,Functionality,Motion alerts delayed,Doorbell,Community,Escalated,Tier 1,Web,UK,25,0,1,3,-0.72
7000084,CSE000084,2025-06-09T00:00:00.000Z,Account,Device setup issue,Camera,Phone,Closed,Tier 1,iOS,DE,25,0,1,4,0.75
7000085,CSE000085,2025-06-19T00:00:00.000Z,Account,Refund request,Camera,Chat,Closed,Tier 1,iOS,DE,20,0,0,5,1.0
7000086,CSE000086,2025-07-31T00:00:00.000Z,Functionality,Refund request,Camera,Phone,Closed,Tier 3,Android,US,13,0,1,4,0.35
7000087,CSE000087,2025-06-22T00:00:00.000Z,Inquiry,Order status,Doorbell,Phone,In Progress,Tier 2,Android,CA,13,0,1,5,0.62
7000088,CSE000088,2025-06-15T00:00:00.000Z,Connectivity,Base station offline,Doorbell,Community,Closed,Tier 1,iOS,UK,22,1,0,3,0.36
7000089,CSE000089,2025-07-14T00:00:00.000Z,Connectivity,Order status,Chime,Phone,Closed,Tier 1,iOS,AU,19,0,1,3,0.23
7000090,CSE000090,2025-07-21T00:00:00.000Z,Functionality,Device setup issue,Chime,Phone,Escalated,Tier 1,Android,DE,16,0,0,3,-0.12
7000091,CSE000091,2025-07-11T00:00:00.000Z,Functionality,Refund request,Base Station,Chat,Closed,Tier 1,iOS,UK,23,1,0,2,-0.88
7000092,CSE000092,2025-07-31T00:00:00.000Z,Inquiry,Refund request,Camera,Phone,Closed,Tier 1,Android,AU,20,3,1,5,0.86
7000093,CSE000093,2025-06-06T00:00:00.000Z,Inquiry,Base station offline,Floodlight,Chat,Closed,Tier 1,Web,CA,25,0,1,2,-0.73
7000094,CSE000094,2025-06-13T00:00:00.000Z,Inquiry,Refund request,Chime,Email,Closed,Tier 1,Android,CA,21,0,1,4,-0.42
7000095,CSE000095,2025-06-09T00:00:00.000Z,Shipping,Refund request,Base Station,Email,Closed,Tier 1,Android,DE,14,0,1,5,1.0
7000096,CSE000096,2025-05-04T00:00:00.000Z,Functionality,Subscription question,Chime,Phone,Closed,Tier 1,Android,CA,22,0,1,5,1.0
7000097,CSE000097,2025-07-13T00:00:00.000Z,Functionality,Refund request,Doorbell,Email,Closed,Tier 1,Web,DE,31,0,1,4,0.4
7000098,CSE000098,2025-05-07T00:00:00.000Z,Billing,Device setup issue,Camera,Email,In Progress,Tier 1,Android,CA,11,0,1,3,-0.17
7000099,CSE000099,2025-07-18T00:00:00.000Z,Inquiry,No live stream,Base Station,Phone,Closed,Tier 1,Web,US,24,1,1,5,0.74
7000100,CSE000100,2025-06-08T00:00:00.000Z,Inquiry,No live stream,Floodlight,Phone,Closed,Tier 2,Android,AU,14,0,1,5,1.0
7000101,CSE000101,2025-05-07T00:00:00.000Z,Inquiry,Subscription question,Chime,Chat,Closed,Tier 2,Android,CA,19,0,1,5,0.95
7000102,CSE000102,2025-05-04T00:00:00.000Z,Billing,Subscription question,Floodlight,Phone,Closed,Tier 2,iOS,CA,5,0,1,4,0.76
7000103,CSE000103,2025-05-06T00:00:00.000Z,Inquiry,Device setup issue,Floodlight,Phone,Closed,Tier 1,iOS,CA,23,1,1,3,0.39
7000104,CSE000104,2025-06-10T00:00:00.000Z,Functionality,Motion alerts delayed,Camera,Phone,Closed,Tier 2,iOS,CA,14,1,1,4,0.32
7000105,CSE000105,2025-06-05T00:00:00.000Z,Connectivity,Camera offline,Chime,Phone,Closed,Tier 1,Web,UK,12,1,1,2,0.02
7000106,CSE000106,2025-07-01T00:00:00.000Z,Functionality,No live stream,Floodlight,Phone,Closed,Tier 3,iOS,US,20,0,1,1,-0.99
7000107,CSE000107,2025-07-27T00:00:00.000Z,Account,No live stream,Camera,Email,Closed,Tier 1,Android,US,16,0,1,2,-0.45
7000108,CSE000108,2025-05-18T00:00:00.000Z,Functionality,Refund request,Base Station,Chat,Closed,Tier 1,Web,AU,30,1,1,5,0.97
7000109,CSE000109,2025-06-28T00:00:00.000Z,Inquiry,App login issues,Camera,Phone,In Progress,Tier 1,Unknown,US,20,0,0,5,1.0
7000110,CSE000110,2025-07-11T00:00:00.000Z,Inquiry,Order status,Doorbell,Chat,Closed,Tier 1,iOS,UK,18,0,1,3,-0.21
7000111,CSE000111,2025-07-08T00:00:00.000Z,Inquiry,Motion alerts delayed,Base Station,Phone,Closed,Tier 1,iOS,CA,14,0,1,4,0.96
7000112,CSE000112,2025-05-26T00:00:00.000Z,Connectivity,Motion alerts delayed,Camera,Phone,Closed,Tier 2,iOS,DE,14,1,1,2,-0.1
7000113,CSE000113,2025-06-06T00:00:00.000Z,Inquiry,Device setup issue,Chime,Phone,Closed,Tier 1,iOS,DE,30,1,1,5,1.0
7000114,CSE000114,2025-06-29T00:00:00.000Z,Functionality,Camera offline,Doorbell,Chat,Closed,Tier 1,Android,DE,21,1,0,4,0.61
7000115,CSE000115,2025-06-07T00:00:00.000Z,Billing,Base station offline,Base Station,Phone,Closed,Tier 1,iOS,UK,22,2,1,5,0.1
7000116,CSE000116,2025-06-01T00:00:00.000Z,Functionality,Refund request,Doorbell,Chat,Closed,Tier 2,Android,AU,21,1,1,5,0.99
7000117,CSE000117,2025-05-07T00:00:00.000Z,Connectivity,Subscription question,Floodlight,Phone,Closed,Tier 2,iOS,AU,18,1,1,5,1.0
7000118,CSE000118,2025-07-13T00:00:00.000Z,Inquiry,Base station offline,Doorbell,Chat,Closed,Tier 1,Android,US,20,0,1,5,1.0
7000119,CSE000119,2025-05-27T00:00:00.000Z,Account,Base station offline,Floodlight,Chat,Closed,Tier 1,iOS,CA,19,0,1,3,-0.69
7000120,CSE000120,2025-06-04T00:00:00.000Z,Inquiry,Base station offline,Floodlight,Phone,Closed,Tier 1,Web,CA,16,1,1,5,1.0
7000121,CSE000121,2025-05-27T00:00:00.000Z,Billing,Order status,Chime,Chat,Escalated,Tier 1,iOS,US,15,0,1,2,-0.52
7000122,CSE000122,2025-07-08T00:00:00.000Z,Connectivity,No live stream,Doorbell,Phone,Escalated,Tier 1,Unknown,AU,17,0,1,3,0.03
7000123,CSE000123,2025-06-28T00:00:00.000Z,Shipping,Subscription question,Floodlight,Chat,Closed,Tier 2,Android,US,21,0,1,4,0.38
7000124,CSE000124,2025-07-20T00:00:00.000Z,Billing,Device setup issue,Floodlight,Phone,In Progress,Tier 1,Android,AU,15,0,1,3,-0.14
7000125,CSE000125,2025-05-10T00:00:00.000Z,Shipping,Device setup issue,Camera,Chat,Escalated,Tier 1,iOS,UK,22,0,1,5,1.0
7000126,CSE000126,2025-07-18T00:00:00.000Z,Connectivity,Camera offline,Camera,Community,Escalated,Tier 1,Android,UK,20,0,1,4,1.0
7000127,CSE000127,2025-07-26T00:00:00.000Z,Connectivity,Motion alerts delayed,Doorbell,Chat,Closed,Tier 2,Android,CA,14,2,1,5,1.0
7000128,CSE000128,2025-05-06T00:00:00.000Z,Connectivity,Subscription question,Camera,Phone,Closed,Tier 1,Android,CA,14,1,1,4,0.81
7000129,CSE000129,2025-05-18T00:00:00.000Z,Shipping,App login issues,Base Station,Phone,Closed,Tier 2,Android,DE,21,0,1,3,-0.28
7000130,CSE000130,2025-05-06T00:00:00.000Z,Account,Order status,Camera,Email,Closed,Tier 1,iOS,CA,3,0,1,3,-0.42
7000131,CSE000131,2025-07-20T00:00:00.000Z,Inquiry,Subscription question,Chime,Phone,Closed,Tier 1,iOS,CA,8,0,1,3,0.18
7000132,CSE000132,2025-07-05T00:00:00.000Z,Account,App login issues,Base Station,Chat,Closed,Tier 2,Web,US,13,1,1,5,0.99
7000133,CSE000133,2025-05-04T00:00:00.000Z,Connectivity,Camera offline,Doorbell,Email,Closed,Tier 1,Android,UK,13,1,1,5,1.0
7000134,CSE000134,2025-05-09T00:00:00.000Z,Billing,Order status,Camera,Chat,Closed,Tier 2,iOS,US,14,1,1,4,0.48
7000135,CSE000135,2025-07-04T00:00:00.000Z,Account,Refund request,Chime,Phone,In Progress,Tier 1,Android,UK,10,0,1,2,-0.64
7000136,CSE000136,2025-05-25T00:00:00.000Z,Connectivity,App login issues,Floodlight,Email,Escalated,Tier 2,Android,DE,11,1,1,5,0.74
7000137,CSE000137,2025-05-31T00:00:00.000Z,Shipping,Base station offline,Base Station,Phone,Escalated,Tier 2,iOS,DE,13,0,1,5,1.0
7000138,CSE000138,2025-07-09T00:00:00.000Z,Inquiry,Base station offline,Chime,Phone,Closed,Tier 1,Android,DE,19,0,1,4,0.72
7000139,CSE000139,2025-07-24T00:00:00.000Z,Functionality,Camera offline,Chime,Phone,Closed,Tier 1,Web,UK,33,0,1,5,0.89
7000140,CSE000140,2025-07-25T00:00:00.000Z,Inquiry,No live stream,Chime,Chat,In Progress,Tier 1,iOS,UK,6,0,1,1,-1.0
7000141,CSE000141,2025-06-21T00:00:00.000Z,Billing,Device setup issue,Base Station,Chat,In Progress,Tier 2,iOS,US,25,0,1,3,0.09
7000142,CSE000142,2025-06-24T00:00:00.000Z,Functionality,Order status,Camera,Email,Closed,Tier 1,Android,US,20,0,1,1,-0.56
7000143,CSE000143,2025-07-08T00:00:00.000Z,Account,Base station offline,Doorbell,Chat,Closed,Tier 1,iOS,DE,6,0,1,3,0.03
7000144,CSE000144,2025-06-22T00:00:00.000Z,Billing,Motion alerts delayed,Floodlight,Phone,Closed,Tier 1,Android,UK,8,0,1,5,0.82
7000145,CSE000145,2025-05-28T00:00:00.000Z,Shipping,No live stream,Camera,Email,Closed,Tier 1,iOS,UK,10,1,1,4,0.49
7000146,CSE000146,2025-07-04T00:00:00.000Z,Functionality,No live stream,Chime,Chat,Closed,Tier 2,Unknown,DE,17,0,1,4,0.57
7000147,CSE000147,2025-07-09T00:00:00.000Z,Inquiry,Order status,Doorbell,Phone,Closed,Tier 1,Unknown,DE,17,0,1,1,-0.84
7000148,CSE000148,2025-07-27T00:00:00.000Z,Functionality,Device setup issue,Floodlight,Chat,Closed,Tier 1,iOS,UK,12,1,1,4,1.0
7000149,CSE000149,2025-05-04T00:00:00.000Z,Billing,Motion alerts delayed,Base Station,Chat,Closed,Tier 1,Android,DE,20,0,1,3,-0.21
7000150,CSE000150,2025-07-14T00:00:00.000Z,Account,Motion alerts delayed,Base Station,Phone,Closed,Tier 2,iOS,DE,7,1,1,5,0.5
7000151,CSE000151,2025-07-07T00:00:00.000Z,Inquiry,Subscription question,Base Station,Phone,Closed,Tier 1,iOS,DE,19,0,1,4,0.04
7000152,CSE000152,2025-06-11T00:00:00.000Z,Shipping,Order status,Doorbell,Phone,Closed,Tier 1,iOS,AU,19,0,1,4,0.74
7000153,CSE000153,2025-06-04T00:00:00.000Z,Billing,Base station offline,Camera,Email,Closed,Tier 2,iOS,US,26,1,1,4,0.46
7000154,CSE000154,2025-05-23T00:00:00.000Z,Functionality,Motion alerts delayed,Floodlight,Chat,Closed,Tier 2,iOS,AU,22,1,1,4,1.0
7000155,CSE000155,2025-07-09T00:00:00.000Z,Connectivity,Base station offline,Floodlight,Phone,Closed,Tier 2,Android,DE,15,0,1,4,0.3
7000156,CSE000156,2025-06-24T00:00:00.000Z,Account,Motion alerts delayed,Doorbell,Phone,Closed,Tier 1,iOS,UK,20,2,0,3,-0.11
7000157,CSE000157,2025-05-02T00:00:00.000Z,Functionality,Base station offline,Floodlight,Phone,Closed,Tier 1,Unknown,AU,13,1,1,4,-0.3
7000158,CSE000158,2025-05-12T00:00:00.000Z,Shipping,Device setup issue,Doorbell,Phone,Closed,Tier 1,Android,DE,18,0,1,5,1.0
7000159,CSE000159,2025-05-26T00:00:00.000Z,Functionality,Device setup issue,Camera,Phone,Closed,Tier 1,Android,AU,22,0,0,5,1.0
7000160,CSE000160,2025-07-20T00:00:00.000Z,Shipping,Device setup issue,Base Station,Phone,Closed,Tier 1,iOS,DE,18,1,1,3,0.31
7000161,CSE000161,2025-07-07T00:00:00.000Z,Connectivity,No live stream,Floodlight,Phone,Closed,Tier 2,iOS,DE,19,1,1,4,0.15
7000162,CSE000162,2025-07-25T00:00:00.000Z,Account,Order status,Base Station,Phone,Closed,Tier 1,Android,CA,18,0,1,1,-1.0
7000163,CSE000163,2025-05-03T00:00:00.000Z,Connectivity,No live stream,Floodlight,Phone,Closed,Tier 2,Web,UK,12,0,1,5,0.59
7000164,CSE000164,2025-07-19T00:00:00.000Z,Functionality,No live stream,Camera,Email,Closed,Tier 1,iOS,CA,14,0,1,2,-1.0
7000165,CSE000165,2025-06-10T00:00:00.000Z,Functionality,No live stream,Doorbell,Phone,Closed,Tier 1,iOS,AU,23,1,0,5,1.0
7000166,CSE000166,2025-07-31T00:00:00.000Z,Account,Order status,Floodlight,Phone,Closed,Tier 1,Web,CA,16,0,1,3,0.0
7000167,CSE000167,2025-06-07T00:00:00.000Z,Inquiry,Camera offline,Doorbell,Email,Closed,Tier 1,Web,DE,21,0,1,3,0.17
7000168,CSE000168,2025-05-14T00:00:00.000Z,Inquiry,Order status,Chime,Email,Closed,Tier 1,iOS,US,31,0,0,1,-0.57
7000169,CSE000169,2025-05-26T00:00:00.000Z,Functionality,Order status,Camera,Email,Closed,Tier 2,Android,US,20,0,1,1,-1.0
7000170,CSE000170,2025-05-20T00:00:00.000Z,Account,Base station offline,Base Station,Email,In Progress,Tier 1,Unknown,AU,20,1,0,2,-1.0
7000171,CSE000171,2025-05-14T00:00:00.000Z,Billing,No live stream,Camera,Email,Closed,Tier 2,Android,CA,19,1,1,3,0.16
7000172,CSE000172,2025-06-17T00:00:00.000Z,Shipping,Subscription question,Doorbell,Phone,Closed,Tier 1,Android,AU,19,0,1,4,0.41
7000173,CSE000173,2025-05-20T00:00:00.000Z,Inquiry,Refund request,Base Station,Phone,Closed,Tier 1,Android,UK,4,0,1,1,-0.82
7000174,CSE000174,2025-07-18T00:00:00.000Z,Account,Order status,Floodlight,Community,Closed,Tier 1,iOS,DE,18,0,1,5,1.0
7000175,CSE000175,2025-07-01T00:00:00.000Z,Functionality,App login issues,Camera,Phone,Closed,Tier 1,Android,DE,23,0,1,5,0.51
7000176,CSE000176,2025-05-20T00:00:00.000Z,Functionality,App login issues,Chime,Phone,Closed,Tier 2,iOS,CA,21,0,0,4,0.37
7000177,CSE000177,2025-07-17T00:00:00.000Z,Connectivity,Base station offline,Floodlight,Chat,Closed,Tier 2,Web,UK,13,0,1,5,0.78
7000178,CSE000178,2025-07-15T00:00:00.000Z,Connectivity,Camera offline,Camera,Chat,Escalated,Tier 1,Android,UK,31,0,1,4,0.88
7000179,CSE000179,2025-06-04T00:00:00.000Z,Inquiry,Camera offline,Chime,Phone,Closed,Tier 1,Unknown,DE,26,0,0,4,0.25
7000180,CSE000180,2025-07-18T00:00:00.000Z,Inquiry,No live stream,Base Station,Phone,Closed,Tier 2,Android,CA,9,1,1,3,-0.24
7000181,CSE000181,2025-07-25T00:00:00.000Z,Functionality,Motion alerts delayed,Camera,Phone,Closed,Tier 1,iOS,CA,18,0,1,3,0.24
7000182,CSE000182,2025-06-11T00:00:00.000Z,Connectivity,Camera offline,Camera,Email,Closed,Tier 3,Web,UK,19,1,1,3,-0.13
